string,code
combats,negative
complacent,negative
complain,negative
complained,negative
complains,negative
condemn,negative
condemnation,negative
condemned,negative
condemns,negative
conflict,negative
conflicting,negative
conflictive,negative
conflicts,negative
confuse,negative
confused,negative
confusing,negative
conspiracy,negative
constrained,negative
contagion,negative
contagions,negative
contagious,negative
contempt,negative
contemptuous,negative
contemptuously,negative
contend,negative
contender,negative
contending,negative
contentious,negative
contestable,negative
controversial,negative
controversially,negative
cornered,negative
corpse,negative
costly,negative
cover-up,negative
coward,negative
cowardly,negative
cramp,negative
crap,negative
crash,negative
crazier,negative
craziest,negative
crazy,negative
crestfallen,negative
cried,negative
cries,negative
crime,negative
criminal,negative
criminals,negative
crisis,negative
critic,negative
criticism,negative
criticize,negative
criticized,negative
criticizes,negative
criticizing,negative
critics,negative
cruel,negative
cruelty,negative
crush,negative
crushed,negative
crushes,negative
crushing,negative
cry,negative
crying,negative
cunt,negative
curse,negative
cut,negative
cuts,negative
cutting,negative
cynic,negative
cynical,negative
cynicism,negative
damage,negative
damages,negative
damn,negative
damned,negative
damnit,negative
danger,negative
darkest,negative
darkness,negative
dead,negative
deadlock,negative
deafening,negative
death,negative
debt,negative
deceit,negative
deceitful,negative
deceive,negative
deceived,negative
deceives,negative
deceiving,negative
deception,negative
defeated,negative
defect,negative
defects,negative
defenseless,negative
defer,negative
deferring,negative
defiant,negative
deficit,negative
degrade,negative
degraded,negative
degrades,negative
dehumanize,negative
dehumanized,negative
dehumanizes,negative
dehumanizing,negative
deject,negative
dejected,negative
dejecting,negative
dejects,negative
delay,negative
delayed,negative
demand,negative
demanded,negative
demanding,negative
demands,negative
demonstration,negative
demoralized,negative
denied,negative
denier,negative
deniers,negative
denies,negative
denounce,negative
denounces,negative
deny,negative
denying,negative
depressed,negative
depressing,negative
derail,negative
derailed,negative
derails,negative
deride,negative
derided,negative
derides,negative
deriding,negative
derision,negative
despair,negative
despairing,negative
despairs,negative
desperate,negative
desperately,negative
despondent,negative
destroy,negative
destroyed,negative
destroying,negative
destroys,negative
destruction,negative
destructive,negative
detached,negative
detain,negative
detained,negative
detention,negative
devastate,negative
devastated,negative
devastating,negative
dick,negative
dickhead,negative
die,negative
died,negative
difficult,negative
diffident,negative
dilemma,negative
dipshit,negative
dire,negative
direful,negative
dirt,negative
dirtier,negative
dirtiest,negative
dirty,negative
disabling,negative
disadvantage,negative
disadvantaged,negative
disappear,negative
disappeared,negative
disappears,negative
disappoint,negative
disappointed,negative
disappointing,negative
disappointment,negative
disappointments,negative
disappoints,negative
disaster,negative
disasters,negative
disastrous,negative
disbelieve,negative
discard,negative
discarded,negative
discarding,negative
discards,negative
disconsolate,negative
disconsolation,negative
discontented,negative
discord,negative
discounted,negative
discouraged,negative
discredited,negative
disdain,negative
disgrace,negative
disgraced,negative
disguise,negative
disguised,negative
disguises,negative
disguising,negative
disgust,negative
disgusted,negative
disgusting,negative
disheartened,negative
dishonest,negative
disillusioned,negative
disinclined,negative
disjointed,negative
dislike,negative
dismal,negative
dismayed,negative
disorder,negative
disorganized,negative
disoriented,negative
disparage,negative
disparaged,negative
disparages,negative
disparaging,negative
displeased,negative
dispute,negative
disputed,negative
disputes,negative
disputing,negative
disqualified,negative
disquiet,negative
disregard,negative
disregarded,negative
disregarding,negative
disregards,negative
disrespect,negative
disrespected,negative
disruption,negative
disruptions,negative
disruptive,negative
dissatisfied,negative
distort,negative
distorted,negative
distorting,negative
distorts,negative
distract,negative
distracted,negative
distraction,negative
distracts,negative
distress,negative
distressed,negative
distresses,negative
distressing,negative
distrust,negative
distrustful,negative
disturb,negative
disturbed,negative
disturbing,negative
disturbs,negative
dithering,negative
dizzy,negative
dodging,negative
dodgy,negative
does not work,negative
dolorous,negative
dont like,negative
doom,negative
doomed,negative
doubt,negative
doubted,negative
doubtful,negative
doubting,negative
doubts,negative
douche,negative
douchebag,negative
downcast,negative
downhearted,negative
downside,negative
drag,negative
dragged,negative
drags,negative
drained,negative
dread,negative
dreaded,negative
dreadful,negative
dreading,negative
dreary,negative
droopy,negative
drop,negative
drown,negative
drowned,negative
drowns,negative
drunk,negative
dubious,negative
dud,negative
dull,negative
dumb,negative
dumbass,negative
dump,negative
dumped,negative
dumps,negative
dupe,negative
duped,negative
dysfunction,negative
eerie,negative
eery,negative
embarrass,negative
embarrassed,negative
embarrasses,negative
embarrassing,negative
embarrassment,negative
embittered,negative
emergency,negative
emptiness,negative
empty,negative
enemies,negative
enemy,negative
ennui,negative
enrage,negative
enraged,negative
enrages,negative
enraging,negative
enslave,negative
enslaved,negative
enslaves,negative
envies,negative
envious,negative
envy,negative
envying,negative
erroneous,negative
error,negative
errors,negative
escape,negative
escapes,negative
escaping,negative
eviction,negative
evil,negative
exaggerate,negative
exaggerated,negative
exaggerates,negative
exaggerating,negative
exclude,negative
excluded,negative
exclusion,negative
excuse,negative
exempt,negative
exhausted,negative
expel,negative
expelled,negative
expelling,negative
expels,negative
exploit,negative
exploited,negative
exploiting,negative
exploits,negative
expose,negative
exposed,negative
exposes,negative
exposing,negative
fad,negative
fag,negative
faggot,negative
faggots,negative
fail,negative
failed,negative
failing,negative
fails,negative
failure,negative
failures,negative
fainthearted,negative
fake,negative
fakes,negative
faking,negative
fallen,negative
falling,negative
falsified,negative
falsify,negative
farce,negative
fascist,negative
fascists,negative
fatalities,negative
fatality,negative
fatigue,negative
fatigued,negative
fatigues,negative
fatiguing,negative
fear,negative
fearful,negative
fearing,negative
fearsome,negative
fed up,negative
feeble,negative
felonies,negative
felony,negative
fiasco,negative
fidgety,negative
fight,negative
fire,negative
fired,negative
firing,negative
flees,negative
flop,negative
flops,negative
flu,negative
flustered,negative
fool,negative
foolish,negative
fools,negative
forced,negative
foreclosure,negative
foreclosures,negative
forget,negative
forgetful,negative
forgotten,negative
frantic,negative
fraud,negative
frauds,negative
fraudster,negative
fraudsters,negative
fraudulence,negative
fraudulent,negative
frenzy,negative
fright,negative
frightened,negative
frightening,negative
frikin,negative
frowning,negative
frustrate,negative
frustrated,negative
frustrates,negative
frustrating,negative
frustration,negative
fuck,negative
fucked,negative
fucker,negative
fuckers,negative
fuckface,negative
fuckhead,negative
fucking,negative
fucktard,negative
fud,negative
fuked,negative
fuking,negative
fuming,negative
funeral,negative
funerals,negative
furious,negative
gag,negative
gagged,negative
ghost,negative
giddy,negative
gloom,negative
gloomy,negative
glum,negative
goddamn,negative
grave,negative
gray,negative
greed,negative
greedy,negative
green wash,negative
green washing,negative
greenwash,negative
greenwasher,negative
greenwashers,negative
greenwashing,negative
grey,negative
grief,negative
grieved,negative
gross,negative
guilt,negative
guilty,negative
gullibility,negative
gullible,negative
gun,negative
hacked,negative
hapless,negative
haplessness,negative
hard,negative
hardship,negative
harm,negative
harmed,negative
harmful,negative
harming,negative
harms,negative
harried,negative
harsh,negative
harsher,negative
harshest,negative
hate,negative
hated,negative
haters,negative
hates,negative
hating,negative
haunt,negative
haunted,negative
haunts,negative
havoc,negative
heartbreaking,negative
heartbroken,negative
heavyhearted,negative
hell,negative
helpless,negative
hesitant,negative
hesitate,negative
hid,negative
hide,negative
hides,negative
hiding,negative
hindrance,negative
hoax,negative
homesick,negative
hooligan,negative
hooliganism,negative
hooligans,negative
hopeless,negative
hopelessness,negative
horrendous,negative
horrible,negative
horrific,negative
horrified,negative
hostile,negative
huckster,negative
humiliated,negative
humiliation,negative
hunger,negative
hurt,negative
hurting,negative
hurts,negative
hypocritical,negative
hysteria,negative
hysterical,negative
hysterics,negative
idiot,negative
idiotic,negative
ignorance,negative
ignorant,negative
ignore,negative
ignored,negative
ignores,negative
ill,negative
illegal,negative
illiteracy,negative
illness,negative
illnesses,negative
imbecile,negative
immobilized,negative
impatient,negative
imperfect,negative
impose,negative
imposed,negative
imposes,negative
imposing,negative
impotent,negative
imprisoned,negative
inability,negative
inaction,negative
inadequate,negative
incapable,negative
incapacitated,negative
incensed,negative
incompetence,negative
incompetent,negative
inconsiderate,negative
inconvenience,negative
inconvenient,negative
indecisive,negative
indifference,negative
indifferent,negative
indignant,negative
indignation,negative
indoctrinate,negative
indoctrinated,negative
indoctrinates,negative
indoctrinating,negative
ineffective,negative
ineffectively,negative
infected,negative
inferior,negative
inflamed,negative
infringement,negative
infuriate,negative
infuriated,negative
infuriates,negative
infuriating,negative
inhibit,negative
injured,negative
injury,negative
injustice,negative
inquisition,negative
insane,negative
insanity,negative
insecure,negative
insensitive,negative
insensitivity,negative
insignificant,negative
insipid,negative
insult,negative
insulted,negative
insulting,negative
insults,negative
interrogated,negative
interrupt,negative
interrupted,negative
interrupting,negative
interruption,negative
interrupts,negative
intimidate,negative
intimidated,negative
intimidates,negative
intimidating,negative
intimidation,negative
irate,negative
ironic,negative
irony,negative
irrational,negative
irresolute,negative
irreversible,negative
irritate,negative
irritated,negative
irritating,negative
isolated,negative
itchy,negative
jackass,negative
jackasses,negative
jailed,negative
jealous,negative
jeopardy,negative
jerk,negative
joyless,negative
jumpy,negative
kill,negative
killed,negative
killing,negative
kills,negative
lack,negative
lackadaisical,negative
lag,negative
lagged,negative
lagging,negative
lags,negative
lame,negative
lawsuit,negative
lawsuits,negative
lazy,negative
leak,negative
leaked,negative
leave,negative
lethargic,negative
lethargy,negative
liar,negative
liars,negative
libelous,negative
lied,negative
limitation,negative
limited,negative
limits,negative
litigation,negative
litigious,negative
livid,negative
loathe,negative
loathed,negative
loathes,negative
loathing,negative
lobby,negative
lobbying,negative
lonely,negative
lonesome,negative
longing,negative
loom,negative
loomed,negative
looming,negative
looms,negative
loose,negative
looses,negative
loser,negative
losing,negative
loss,negative
lost,negative
lowest,negative
lugubrious,negative
lunatic,negative
lunatics,negative
lurk,negative
lurking,negative
lurks,negative
mad,negative
maddening,negative
made-up,negative
madly,negative
madness,negative
mandatory,negative
manipulated,negative
manipulating,negative
manipulation,negative
meaningless,negative
mediocrity,negative
melancholy,negative
menace,negative
menaced,negative
mess,negative
messed,negative
messing up,negative
mindless,negative
misbehave,negative
misbehaved,negative
misbehaves,negative
misbehaving,negative
mischief,negative
mischiefs,negative
miserable,negative
misery,negative
misgiving,negative
misinformation,negative
misinformed,negative
misinterpreted,negative
misleading,negative
misread,negative
misreporting,negative
misrepresentation,negative
miss,negative
missed,negative
missing,negative
mistake,negative
mistaken,negative
mistakes,negative
mistaking,negative
misunderstand,negative
misunderstanding,negative
misunderstands,negative
misunderstood,negative
moan,negative
moaned,negative
moaning,negative
moans,negative
mock,negative
mocked,negative
mocking,negative
mocks,negative
mongering,negative
monopolize,negative
monopolized,negative
monopolizes,negative
monopolizing,negative
moody,negative
mope,negative
moping,negative
moron,negative
motherfucker,negative
motherfucking,negative
mourn,negative
mourned,negative
mournful,negative
mourning,negative
mourns,negative
mumpish,negative
murder,negative
murderer,negative
murdering,negative
murderous,negative
murders,negative
myth,negative
n00b,negative
naive,negative
nasty,negative
naïve,negative
needy,negative
negative,negative
negativity,negative
neglect,negative
neglected,negative
neglecting,negative
neglects,negative
nerves,negative
nervous,negative
nervously,negative
niggas,negative
nigger,negative
no,negative
no fun,negative
noisy,negative
nonsense,negative
noob,negative
nosey,negative
not good,negative
not working,negative
notorious,negative
numb,negative
nuts,negative
obliterate,negative
obliterated,negative
obnoxious,negative
obscene,negative
obsolete,negative
obstacle,negative
obstacles,negative
obstinate,negative
odd,negative
offend,negative
offended,negative
offender,negative
offending,negative
offends,negative
offline,negative
oppressed,negative
oppressive,negative
optionless,negative
outcry,negative
outmaneuvered,negative
outrage,negative
outraged,negative
overload,negative
overlooked,negative
overreact,negative
overreacted,negative
overreaction,negative
overreacts,negative
oversell,negative
overselling,negative
oversells,negative
oversimplification,negative
oversimplified,negative
oversimplifies,negative
oversimplify,negative
overstatement,negative
overstatements,negative
overweight,negative
oxymoron,negative
pain,negative
pained,negative
panic,negative
panicked,negative
panics,negative
paradox,negative
parley,negative
passive,negative
passively,negative
pathetic,negative
pay,negative
penalty,negative
pensive,negative
peril,negative
perjury,negative
perpetrator,negative
perpetrators,negative
perplexed,negative
persecute,negative
persecuted,negative
persecutes,negative
persecuting,negative
perturbed,negative
pesky,negative
pessimism,negative
pessimistic,negative
petrified,negative
phobic,negative
pileup,negative
pique,negative
piqued,negative
piss,negative
pissed,negative
pissing,negative
piteous,negative
pitied,negative
pity,negative
poised,negative
poison,negative
poisoned,negative
poisons,negative
pollute,negative
polluted,negative
polluter,negative
polluters,negative
pollutes,negative
poor,negative
poorer,negative
poorest,negative
possessive,negative
postpone,negative
postponed,negative
postpones,negative
postponing,negative
poverty,negative
powerless,negative
prblm,negative
prblms,negative
pressure,negative
pressured,negative
pretend,negative
pretending,negative
pretends,negative
prevent,negative
prevented,negative
preventing,negative
prevents,negative
prick,negative
prison,negative
prisoner,negative
prisoners,negative
problem,negative
problems,negative
profiteer,negative
propaganda,negative
prosecute,negative
prosecuted,negative
prosecutes,negative
prosecution,negative
protest,negative
protesters,negative
protesting,negative
protests,negative
provoke,negative
provoked,negative
provokes,negative
provoking,negative
pseudoscience,negative
punish,negative
punished,negative
punishes,negative
punitive,negative
pushy,negative
puzzled,negative
quaking,negative
questionable,negative
questioned,negative
questioning,negative
racism,negative
racist,negative
racists,negative
rage,negative
rageful,negative
rainy,negative
rant,negative
ranter,negative
ranters,negative
rants,negative
rape,negative
rapist,negative
rash,negative
rebellion,negative
recession,negative
reckless,negative
refuse,negative
refused,negative
refusing,negative
regret,negative
regretful,negative
regrets,negative
regretted,negative
regretting,negative
reject,negative
rejected,negative
rejecting,negative
rejects,negative
relentless,negative
remorse,negative
repulse,negative
repulsed,negative
resentful,negative
resign,negative
resigned,negative
resigning,negative
resigns,negative
restless,negative
restrict,negative
restricted,negative
restricting,negative
restriction,negative
restricts,negative
retained,negative
retard,negative
retarded,negative
retreat,negative
revenge,negative
revengeful,negative
ridiculous,negative
rig,negative
rigged,negative
riot,negative
riots,negative
risk,negative
risks,negative
rob,negative
robber,negative
robed,negative
robing,negative
robs,negative
ruin,negative
ruined,negative
ruining,negative
ruins,negative
sabotage,negative
sad,negative
sadden,negative
saddened,negative
sadly,negative
sappy,negative
sarcastic,negative
scam,negative
scams,negative
scandal,negative
scandalous,negative
scandals,negative
scapegoat,negative
scapegoats,negative
scare,negative
scared,negative
scary,negative
sceptical,negative
scold,negative
scorn,negative
scornful,negative
scream,negative
screamed,negative
screaming,negative
screams,negative
screwed,negative
screwed up,negative
scumbag,negative
sedition,negative
seditious,negative
seduced,negative
self-deluded,negative
selfish,negative
selfishness,negative
sentence,negative
sentenced,negative
sentences,negative
sentencing,negative
severe,negative
shaky,negative
shame,negative
shamed,negative
shameful,negative
shattered,negative
shit,negative
shithead,negative
shitty,negative
shock,negative
shocked,negative
shocking,negative
shocks,negative
shoot,negative
short-sighted,negative
short-sightedness,negative
shortage,negative
shortages,negative
shrew,negative
shy,negative
sick,negative
sigh,negative
silencing,negative
silly,negative
sinful,negative
singleminded,negative
skeptic,negative
skeptical,negative
skepticism,negative
skeptics,negative
slam,negative
slash,negative
slashed,negative
slashes,negative
slashing,negative
slavery,negative
sleeplessness,negative
sluggish,negative
slut,negative
smear,negative
smog,negative
sneaky,negative
snub,negative
snubbed,negative
snubbing,negative
snubs,negative
solemn,negative
somber,negative
some kind,negative
son-of-a-bitch,negative
sore,negative
sorrow,negative
sorrowful,negative
sorry,negative
spam,negative
spammer,negative
spammers,negative
spamming,negative
speculative,negative
spiritless,negative
spiteful,negative
squelched,negative
stab,negative
stabbed,negative
stabs,negative
stall,negative
stalled,negative
stalling,negative
stampede,negative
startled,negative
starve,negative
starved,negative
starves,negative
starving,negative
steal,negative
steals,negative
stereotype,negative
stereotyped,negative
stifled,negative
stingy,negative
stolen,negative
stop,negative
stopped,negative
stopping,negative
stops,negative
strange,negative
strangely,negative
strangled,negative
stressed,negative
stressor,negative
stressors,negative
stricken,negative
strike,negative
strikers,negative
strikes,negative
struck,negative
struggle,negative
struggled,negative
struggles,negative
struggling,negative
stubborn,negative
stuck,negative
stunned,negative
stupid,negative
stupidly,negative
subversive,negative
suck,negative
sucks,negative
suffer,negative
suffering,negative
suffers,negative
suicidal,negative
suicide,negative
suing,negative
sulking,negative
sulky,negative
sullen,negative
suspect,negative
suspected,negative
suspecting,negative
suspects,negative
suspend,negative
suspended,negative
suspicious,negative
swear,negative
swearing,negative
swears,negative
swindle,negative
swindles,negative
swindling,negative
tard,negative
tears,negative
tense,negative
tension,negative
terrible,negative
terribly,negative
terrified,negative
terror,negative
terrorize,negative
terrorized,negative
terrorizes,negative
thorny,negative
thoughtless,negative
threat,negative
threaten,negative
threatened,negative
threatening,negative
threatens,negative
threats,negative
thwart,negative
thwarted,negative
thwarting,negative
thwarts,negative
timid,negative
timorous,negative
tired,negative
tits,negative
toothless,negative
torn,negative
torture,negative
tortured,negative
tortures,negative
torturing,negative
totalitarian,negative
totalitarianism,negative
tout,negative
touted,negative
touting,negative
touts,negative
tragedy,negative
tragic,negative
trap,negative
trapped,negative
trauma,negative
traumatic,negative
travesty,negative
treason,negative
treasonous,negative
trembling,negative
tremulous,negative
tricked,negative
trickery,negative
trouble,negative
troubled,negative
troubles,negative
tumor,negative
twat,negative
ugly,negative
unacceptable,negative
unappreciated,negative
unapproved,negative
unaware,negative
unbelievable,negative
unbelieving,negative
uncertain,negative
unclear,negative
uncomfortable,negative
unconcerned,negative
unconfirmed,negative
unconvinced,negative
uncredited,negative
undecided,negative
underestimate,negative
underestimated,negative
underestimates,negative
underestimating,negative
undermine,negative
undermined,negative
undermines,negative
undermining,negative
undeserving,negative
undesirable,negative
uneasy,negative
unemployment,negative
unequal,negative
unethical,negative
unfair,negative
unfocused,negative
unfulfilled,negative
unhappy,negative
unhealthy,negative
unimpressed,negative
unintelligent,negative
unjust,negative
unlovable,negative
unloved,negative
unmotivated,negative
unprofessional,negative
unresearched,negative
unsatisfied,negative
unsecured,negative
unsettled,negative
unsophisticated,negative
unstable,negative
unsupported,negative
unsure,negative
unwanted,negative
unworthy,negative
upset,negative
upsets,negative
upsetting,negative
uptight,negative
urgent,negative
useless,negative
uselessness,negative
vague,negative
verdict,negative
verdicts,negative
vexation,negative
vexing,negative
vicious,negative
victim,negative
victimize,negative
victimized,negative
victimizes,negative
victimizing,negative
victims,negative
vile,negative
violate,negative
violated,negative
violates,negative
violating,negative
violence,negative
violent,negative
virulent,negative
vitriolic,negative
vociferous,negative
vulnerability,negative
vulnerable,negative
walkout,negative
walkouts,negative
wanker,negative
war,negative
warfare,negative
warn,negative
warned,negative
warning,negative
warnings,negative
warns,negative
waste,negative
wasted,negative
wasting,negative
wavering,negative
weak,negative
weakness,negative
weary,negative
weep,negative
weeping,negative
weird,negative
whitewash,negative
whore,negative
wicked,negative
widowed,negative
withdrawal,negative
woebegone,negative
woeful,negative
worn,negative
worried,negative
worry,negative
worrying,negative
worse,negative
worsen,negative
worsened,negative
worsening,negative
worsens,negative
worst,negative
worthless,negative
wrathful,negative
wreck,negative
wrong,negative
wronged,negative
wtf,negative
yucky,negative
zealot,negative
zealots,negative
abilities,positive
ability,positive
aboard,positive
absolve,positive
absolved,positive
absolves,positive
absolving,positive
absorbed,positive
accept,positive
accepted,positive
accepting,positive
accepts,positive
accomplish,positive
accomplished,positive
accomplishes,positive
achievable,positive
acquit,positive
acquits,positive
acquitted,positive
acquitting,positive
active,positive
adequate,positive
admire,positive
admired,positive
admires,positive
admiring,positive
adopt,positive
adopts,positive
adorable,positive
adore,positive
adored,positive
adores,positive
advanced,positive
advantage,positive
advantages,positive
adventure,positive
adventures,positive
adventurous,positive
affection,positive
affectionate,positive
agog,positive
agree,positive
agreeable,positive
agreed,positive
agreement,positive
agrees,positive
alive,positive
allow,positive
amaze,positive
amazed,positive
amazes,positive
amazing,positive
ambitious,positive
amuse,positive
amused,positive
amusement,positive
amusements,positive
anticipation,positive
appease,positive
appeased,positive
appeases,positive
appeasing,positive
applaud,positive
applauded,positive
applauding,positive
applauds,positive
applause,positive
appreciate,positive
appreciated,positive
appreciates,positive
appreciating,positive
appreciation,positive
approval,positive
approved,positive
approves,positive
ardent,positive
asset,positive
assets,positive
astonished,positive
astound,positive
astounded,positive
astounding,positive
astoundingly,positive
astounds,positive
attract,positive
attracted,positive
attracting,positive
attraction,positive
attractions,positive
attracts,positive
audacious,positive
authority,positive
avid,positive
award,positive
awarded,positive
awards,positive
awesome,positive
backed,positive
backing,positive
backs,positive
bargain,positive
beatific,positive
beauties,positive
beautiful,positive
beautifully,positive
beautify,positive
beloved,positive
benefit,positive
benefits,positive
benefitted,positive
benefitting,positive
best,positive
better,positive
big,positive
bless,positive
blesses,positive
blessing,positive
bliss,positive
blissful,positive
blithe,positive
blockbuster,positive
bold,positive
boldly,positive
boost,positive
boosted,positive
boosting,positive
boosts,positive
brave,positive
breakthrough,positive
breathtaking,positive
bright,positive
brightest,positive
brightness,positive
brilliant,positive
brisk,positive
buoyant,positive
calm,positive
calmed,positive
calming,positive
calms,positive
capable,positive
captivated,positive
care,positive
carefree,positive
careful,positive
carefully,positive
cares,positive
celebrate,positive
celebrated,positive
celebrates,positive
celebrating,positive
certain,positive
chance,positive
chances,positive
charm,positive
charming,positive
cheer,positive
cheered,positive
cheerful,positive
cheering,positive
cheers,positive
cheery,positive
cherish,positive
cherished,positive
cherishes,positive
cherishing,positive
chic,positive
clarifies,positive
clarity,positive
classy,positive
clean,positive
cleaner,positive
clear,positive
cleared,positive
clearly,positive
clears,positive
clever,positive
comedy,positive
comfort,positive
comfortable,positive
comforting,positive
comforts,positive
commend,positive
commended,positive
commit,positive
commitment,positive
commits,positive
committed,positive
committing,positive
compassionate,positive
compelled,positive
competent,positive
competitive,positive
comprehensive,positive
conciliate,positive
conciliated,positive
conciliates,positive
conciliating,positive
confidence,positive
confident,positive
congrats,positive
congratulate,positive
congratulation,positive
congratulations,positive
consent,positive
consents,positive
consolable,positive
convince,positive
convinced,positive
convinces,positive
convivial,positive
cool,positive
cool stuff,positive
courage,positive
courageous,positive
courteous,positive
courtesy,positive
coziness,positive
creative,positive
curious,positive
cute,positive
daredevil,positive
daring,positive
dauntless,positive
dear,positive
dearly,positive
debonair,positive
decisive,positive
dedicated,positive
defender,positive
defenders,positive
delight,positive
delighted,positive
delighting,positive
delights,positive
desirable,positive
desire,positive
desired,positive
desirous,positive
determined,positive
devoted,positive
diamond,positive
dream,positive
dreams,positive
eager,positive
earnest,positive
ease,positive
easy,positive
ecstatic,positive
effective,positive
effectively,positive
elated,positive
elation,positive
elegant,positive
elegantly,positive
embrace,positive
empathetic,positive
enchanted,positive
encourage,positive
encouraged,positive
encouragement,positive
encourages,positive
endorse,positive
endorsed,positive
endorsement,positive
endorses,positive
energetic,positive
engage,positive
engages,positive
engrossed,positive
enjoy,positive
enjoying,positive
enjoys,positive
enlighten,positive
enlightened,positive
enlightening,positive
enlightens,positive
enrapture,positive
ensure,positive
ensuring,positive
enterprising,positive
entertaining,positive
enthral,positive
enthusiastic,positive
entitled,positive
entrusted,positive
esteemed,positive
ethical,positive
euphoria,positive
euphoric,positive
exasperated,positive
excellence,positive
excellent,positive
excite,positive
excited,positive
excitement,positive
exciting,positive
exclusive,positive
exhilarated,positive
exhilarates,positive
exhilarating,positive
exonerate,positive
exonerated,positive
exonerates,positive
exonerating,positive
expand,positive
expands,positive
exploration,positive
explorations,positive
extend,positive
extends,positive
exuberant,positive
exultant,positive
exultantly,positive
fabulous,positive
fair,positive
faith,positive
faithful,positive
fame,positive
fan,positive
fantastic,positive
fascinate,positive
fascinated,positive
fascinates,positive
fascinating,positive
favor,positive
favored,positive
favorite,positive
favorited,positive
favorites,positive
favors,positive
fearless,positive
feeling,positive
fervent,positive
fervid,positive
festive,positive
fine,positive
fit,positive
fitness,positive
flagship,positive
focused,positive
fond,positive
fondness,positive
forgive,positive
forgiving,positive
fortunate,positive
free,positive
freedom,positive
fresh,positive
friendly,positive
frisky,positive
ftw,positive
fulfill,positive
fulfilled,positive
fulfills,positive
fun,positive
funky,positive
funnier,positive
funny,positive
futile,positive
gain,positive
gained,positive
gaining,positive
gains,positive
gallant,positive
gallantly,positive
gallantry,positive
generous,positive
genial,positive
gift,positive
glad,positive
glamorous,positive
glamourous,positive
