id,name,text,summary,score
11,Wings42,"My experience with this collar is very different from Payton Tremaine's.Pros:- It is extremely well made of heavy nylon mesh, strong plastic snap, heavy duty light assembly, and heavy metal loop.- It looks elegant, beautiful enough for daily use.- The switch is easy to use: a press for steady on, another press for blinking, one more for off. Little pressure is required on mine to operate the switch.- My dog is a Labrador mix who loves the water. He swam twice with the collar on with no apparent leakage or damage.- The orange glow is very visible, but not super attention getting, even in blink mode. It's strange seeing what looks like a disembodied orange line as my dog romps around in the distance off leash at night.- The price is reasonable for the quality of this collar.Cons:- None so farHighly recommended.Updated November 12, 2009. All the above. The battery ran down since last year. It was easily replaced with a 2032 lithium button battery, available at very low cost from Amazon. So, even more highly recommended.",Well made and works as advertised,5
12,"""Rahul P. Mehta \""Absolute Chrome\""""","""I bought this scooper primarily because I've got two big dogs and lots of dog crap to pick up in the back yard.  This scooper does feel much better on my hands than other scoopers I've used (I also have the \""combing\"" kind).  However, forget about using this in grass taller than 2 inches.  I have a hard time picking the stuff up and this scooper also rips up a lot of grass at the same time.""",Ergonomic but not perfect,3
13,Happygoddess,"This is a great concept for a dog toy. My little guy holds it down easily and chews away. A design for the future!  Draw backs--- we've had several and they are all chewed and gone in 1 day, sometimes in an hour or two AND they are expensive for a chew that is gone that fast. That being said, I WILL buy them again. Who would expect that a dog would LOVE pumpkin!  In the past, I've bought him the largest one, but this time, I bought him the Average Joe because my dog is a 20 pound Boston Terrier puppy. Average Joe was quickly gone. Good advice would be to buy bigger than you think you'll need. It will last longer. The design would be great for other companies that make dog chews to adopt. Our only complaint is that he chews it very fast and it's gone fast--- something all reviewers comment about. It changes the color of his stool, too, so don't be surprised. Not a complaint, just an observation.  We will buy more, but not often. I have to remember to buy the larger one next time! Give your dog one and discover that your dog, too, will probably like the flavor of pumpkin!",Dog loves it! We love it,4
14,Judy S.,I bought this as a gift to a rescue center for felines.  It was on their request list and I have used this product and liked it a lot.,This was a gift to a rescue center.,5
15,carrie,"I have spent hundreds of dollars on pet water fountains.  Most are horrible to clean and maintain.  This is a great solution to put into one of your own bowls, I have one in a stainless bowl and the other a ceramic bowl.  Both work equally well.  It is also very inexpensive compared to the other fountains.  It is very powerful and does a great job at circulating the water.  Very small and easy to clean.  And my bowls just go into the dishwasher.  I would recommend this product for anyone looking for a good pet fountain alternative.",Excellent Pump,5
16,"""Vickie R. \""GlamFan\""""","I've been feeding my 4 month old kitten Blue Buffalo Wilderness, which he likes a lot. But, it's very expensive so I've been looking for another dry food to supplement the BB...a little cheaper version that I could alternate or mix in. This stuff looked as if it would fit the bill because it's grain free and looks to have good ingredients, But for some reason my cat will not eat it. I tried mixing it with the BB and he actually noses thru the bowl and shoves the Felidae/Canidae aside. I would say that he's spoiled by the BB but I also feed several feral cats in our yard and they will eat anything and even they turned their nose up at this food. I don't know what's in it but none of my cats will touch the stuff!The other issue I had with this product is I didn't recieve the bag of food that is displayed here...the yellow and white bag. Instead I received a bag with what looked like the same ingredients but it's green and white and has the name Canidae written on it. Now I've heard that this company use to call their dog food Canidae (Canine) and their cat food Felidae (Feline) so I'm not sure if they've decided to drop the Felidae name and just called everything they make Canidae or if there is some sort of glitch happening right now. I also noticed that since I ordered this food just a few days ago, Amazon has labled it with a warning stating &#34;This product is under review&#34; because this has apparently become an issue with numerous people complaining about the same thing. Luckily Amazon is such an outstanding company to deal with...I called them to discuss these issues and they gave me a full refund and told me to do what I wanted with the food, not to even worry about returning it since it was open.  I love Amazon so much!",Cats Wouldn't Eat it!,2
17,"""ampm247 \""AnnMarie\""""",I had to send the one I ordered here on amazon back as it had frozen during shipment (winter) BUT I did go and get a bottle at our local pet food store and have used it a few times on my dog child that I was wanting to assist with clearing a bit of drainage in his eyes and this has helped. the gel makes it especially easy to use as he (my dogkid) is NOT a big fanm of me &#34;doing&#34; things to him... medical-type things that is.. treats and ball and play are EASY to do! lol,appears to be a good quality,4
18,T.M. Reader,"""Scanning over the existing reviews on these Waggin' Train Jerky Duos Dog Treats, I see a wide range of opinion, many of them quite negative from the dog health perspective.  I've had some negative experience also. If you'll allow me to share briefly . . . .A few years ago there was nothing short of a national scandal regarding jerky dog treats.  I (as a buyer for my dog) was a victim.  Jerky treats (I probably should not name the brand) that I purchased from a MAJOR discount retail department store (I better not name the store) darn near killed one of my dogs (my Chihuahua mix, Bruiser).  Dogs died all across the US from eating the contaminated treats.  Bruiser is still alive and happy, but is now full diabetic (I give 2 insulin injections daily) and is blind.  His problems began with that container of jerky treats.  The common denominator is that the problem treats were coming out of China.  The newspapers said so, my vet said so, and my experience said so.  When boarding our dogs, to this day my vet will still not allow ANY China manufactured dog food/treats to be left in his facility.  OK, so how about these Waggin' Train Jerky Duos??These Waggin' Train label is a Purina brand.  Generally trusted and highly experienced.  The package boldly states, \""MADE IN THE USA\"".  The package also claims, \""No artificial flavors or preservatives\"".  The package labeling cautions that this is a \""treat\"", and not to be used as part of a balanced diet.  There are dog size guidelines provided, for instance advising that dogs 5-10 pounds should only get half a treat.  The ingredients list sets off no alarms . . . generally all things that one recognizes as \""food\"" (starting with chicken, sweet potatoes, brown sugar) plus a natural preservative element listed as the last ingredient.  I'm satisfied that Purina is manufacturing and marketing these treats responsibly, and as a corporation appears to be well-aware of the past jerky treat controversy.  Personally, I'm satisfied that they know what they are doing and can be trusted -- if for no other reason than preservation of their corporate reputation and public good will.  Purina still markets a China manufactured treat.  I won't use that one.  But these Jerky Duos are made in USA. So far, I'm OK with them.  Now that all those minus and pluses are out of the way, how did my dogs (Bruiser and my terrier, Gizmo) like these treats???These treats are like little cased sausages, a couple of inches longer than my index finger.  My picky dogs took these and investigated cautiously, as they do with any new food.  After a biting in, it was all food love.  They love these and would gladly take seconds . . . but I'll only allow one a day.Considering the apparent reform in the industry regarding these chicken jerky treats, and the apparent quality ingredients and reputable manufacturer - I'll give these yummy treats 5 stars.""",Chicken jerky treats -- safe again?,5
19,ike2oo1,"Great food, the dog really enjoys Taste of the Wild.  She really likes this and the prairie bison flavor, buy in bulk and having it delivered is so much easier.",Dog loves the taste,5
20,Gracie &amp; Scott Whitmore,"""I love this litterbox. I had the first one for a year. The motor died. Just out of warranty, and customer service still replaced it when I emailed them. I now have a second box as well. I love that I just have to top it off every week when I empty the bin, and no more scooping! My cat loves it too. She sits and watches it work, and was quite upset during the time we were waiting for the motor replacement, that it didn't get clean right away! I would recommend this over any of the other automatic litterboxes that I've tried, even if the motor seems to wear out after a year, it's still a great investment in time and energy saving, and no litterbox smell in the house. :)More notes that I thought of:One of the biggest things I like about it, (other than the obvious not having to scoop it) is that the bin sits at the back of the box when not scooping, and the bin is nice sturdy plastic that you put a liner in, making it easy to lift out to clean.  (The littermaid one that I tried has a bin at the front, which the cat steps over to get into the box, and the disposable bin tends to bend and crack when lifting it out.)I have found that the \""World's Best Cat Litter\"" brand seems to work very well with this. Low dust, clumps well, low odor.My cat sometimes pees right against the rake area, so that I have to lift the rake a bit and scrape the litter forward in front of the rake, but that's pretty rare. She did it more when we first got the box, but over a few months, she started peeing right in the middle of the box and doesn't bother covering it anymore, but instead sits and waits for the box to scoop, while she watches in fascination.One thing that will help prevent jams, is to make sure that it's placed so that as the mechanism moves forward, the lid does not hit against anything on either side as it opens. Otherwise, it can get knocked loose and jam in the litterbox. And of course, if the bin is full, the clumps will roll right back out, and onto the floor. Which of course is user error, not the fault of the litterbox. ;)""",Love it!,5
21,Senor Zoidbergo,"Fancy Feast is odd; some cats love it as if it were crack cocaine.  Yet another cat ate only half of it, then walked away.  The indifferent cat did drink all the broth though.","Like kitty crack for some, yet other cats are indifferent.",5
22,Sky Lark,"Love that this 40 lb bag is delievered to my door and such a good price.  I was purchasing 15 lb bags at a local pet store and it was difficult for me to lift and carry from car to house.  When it arrives, I open the bag on my porch and scoop into containers that I can comfortably lift and carry.  This is enough litter for more than a month for a 2 cat household.  This litter clumps the tightest, there is no perfume, and my cats took to it right away.I recommend this product, and by all means, have it delivered to your door.  Especially great deal if you have Amazon Prime.",Best Clumping Litter for my cats,5
23,tarakat,My 7 month old golden doodle loves all the get naked dog treats. These are even her special bed time treat. She will do almost any thing when she sees me with one of these.,Puppy is happy,5
24,"""Nashville Farrell \""GrayBeard the Pirate\""""","""This is a very nice pellet food for both saltwater and freshwater fish. I will write a quick anecdote as a testament to the quality of this food.I received four festivums in the mail from a seller I thought was reputable. When they arrived, all four fish were sick and infested with both parasites and bacterial infections. Two fish were dead upon arrival, one fish died in quarantine in a matter of a day while one fish just lingered close to death. I don't use medications for my fish as I never really encounter illnesses because I usually buy from a different and certainly better fish seller.I didn't think the surviving festivum would live past another day, the festivum didn't seem interested in doing anything other than lingering in the corner of my sick tank. But I went through the motions of keeping his water high quality and feeding him New Life Thera A. Almost the second the food hit the water, the festivum swam over and gently ate the few floating pellets. That a dying fish found this food attractive, is a testament to the quality of this food.Well, with nothing more than clean water and New Life Spectrum Thera A food, my festivum (Festy the festering festivum as I call him) came back to life with a vengeance. In a matter of weeks he was fully healthy with minimal long term damage. He is now king of my cichlid tank.This food is very good. Fish really like it, it has a nice balance of nutrients and ingredients and it doesn't cloud the water. There are downsides, the pellets are small and the food can affect your tank's phosphates if the feeding regimen is too heavy or not monitored. For some types of saltwater tanks this could be a problem, but it can be handled. For me and my fish 'Festy\"", New Life Spectrum Thera A is a sure five star product.""",Remarkable Freshwater Fish Food,5
25,"""B. J. Mayer \""bjm54\""""","I liked these better when they were denim.  Now they are a knit material that doesn't seem as sturdy and doesn't look like it will wear as well, hard to be sure of that.  It may be the cotton wore out faster.I use these for my disabled corgi by cutting a Poise pad in half and then overlapping the two halves in the belly band.  Works pretty well though the medium (which fits his waist) is narrower than the two Poise pads.  The velcro is still good even in one I have that is so worn it has holes in it.  The elastic has not fared as well and several have lost their elasticity after numerous washes.",We liked the denim ones better,3
26,BluBobcat,"I've had numerous pets throughout the years, none quite like Pinkie.  He has always been nervous and fearful of everything from doorbells to loud noises, even if they are just on the television. After fostering a stray pregnant female, and her subsequent litter of kittens, Pinkie met his breaking point and stopped eating. We tried everything to entice him as did the Vet.  I tried Feliway previously with an aggressive Tom cat but didn't see any improvement.  I decided to try again to see if Feliway would mellow Pinkie enough that he would eat again.  The first day I plugged these in and it was like a miracle! He not only started eating (after starving himself for 4 days and losing 1.5 pounds), he also started to play like he was a kitten again.  The product may not work with all cats, but it is worth the chance for us.  It saved Pinkie's life and I am grateful.",Nervous Pet - best solution,5
27,"""Kristin A. Peterson \""uRje'sRoze\""""",This is a product that I have used for a while now. I was very happy to find it at a price I could afford. Fast service .,Happy,5
28,Eva M. Wilson,"Unfortunately, this thing was way to high and did not fit on the floor space in the kitchen designated for the dog's water and food bowls.  We just got rid of it, as it served no purpose for our use.",Needed this for our senior dog.,2
29,Rane E Stark,"I thought this worked just fine. I have a cat and a dog, so I am always battling pet hair. It does pull up hair, but the sheets gets full very quickly. Since the sheets are disposable, I think that could get expensive after a while. That being said, I think it would be a good thing to have around for a quick clean up when you don't want to drag out the vacuum.",Works okay,3
30,Mrs. Bear,"I didn't want to give this a bad rating because it isn't about the quality. I didn't even  try using it because I read a review from someone else that said it didn't work for his poodle and that's what we have (I should have read the review before ordering but Amazon is always great about returns). You can't see it in the photo, but the bristles have rubber tips and they &#34;catch&#34; in the kind of hair that poodles have and snag it. I am trying to get my puppies used to the grooming process, so I want brushing to be as stress-free as possible. I returned this item and got something else that didn't have the rubber on the ends.",WON'T WORK FOR OUR PUPS,3
31,"""Akcloudwoman \""Ak Cloudwoman\""""",I tried these with my lab that was shedding badly.  I gave him 1-2 each day and his shedding improved a lot (lots less hair to sweep/vacuum up every day).  Both of my dogs loved the taste and were happy to do tricks for them.  I will buy these again for my dogs.,Great for shedding and soft coat,5
32,Miriam Franklin,"These are not iClicks!  They are super loud and for the dogs I work with, too scary.  When I went to return them I would have had to pay to ship them back to China.... so I didn't bother.  Now I have to think of someone to give super loud clickers to because I can't use them.",awful,1
33,ahally,"This collar has helped train our puppy. He kept eating dangerous bark in our yard despite efforts to put up a barrier and using other training techniques. We were scared he would get a piece stuck in his throat or intestines. This collar has deterred him from going to the bark. It is a bit bulky for a puppy and the collar is kinda cheap with not great adjustments, but it has served it purpose.",It works,5
34,EJ Riggs,My cat lost all 4 of these almost as soon as I gave them to him.  That means he played with them thoroughly until they ended up under the stove or the fridge.  A good buy and a good set of toys.,Cats Like These Toys,5
35,Max Rockbin,"If your dog eviscerates every plush toy he/she gets, don't bank on this one to survive.  It can't handle an all out focused assault.BUT - it is tougher than any other plush squeaky toy I have purchased.  The squeakers are larger tubes instead of the usual smaller puff ball type.  That means the dog tends not to try squeaker surgery and is content to just bite down on the thing over and over (which it handles very well).  Of course, it also means you have to listen to the squeaker.  A lot.  But if you don't want that, don't by a squeaky toy.The head is finally starting to come off.  My fault really.  The dog always wants to play tug with it.  I should know better, but sometimes I indulge him.  Consider a 70 Lb terrier was trying his crazy best to yank the thing away, it has lasted a good while.Short of kevlar, I'm not sure how they could make it stronger and still be interesting to the dog.",A durable plush Squeaker toy,5
36,fortherelax,"This seemed like such a great idea! But my cats wouldn't touch it, even with their favorite treats in it. I rolled it around to show them how the treats would come out, but they didn't want to do it themselves. As long as I rolled it, they were engaged. If I left, they ignored it. I wouldn't recommend it.",Couldn't have cared less,2
37,frazier.simpson,"Great leashes for large breed dogs.  We use this one for our 110lb. male, and also have the large size for our female.  The male can be very boisterous and pulls sometimes, and this has yet to snap / break.",A must-have for large dogs,5
38,"""et5252 \""et 5252\""""","Worked very well but was to small for my 55 gallon, the fish was nibblin on each other I used it for my 5 gallon goldfish tank.",Works well,5
39,"""punky \""Lois P.\""""","This snack is really good, at least the animals think so.  I have three dogs and when I ask if they want a treat, this is the first one they want.  Trouble is I have to break it up or they woof it down.  Great special treat.  Price was good.",woof woof its gone.,5
40,"""Marco \""Cat Lover\""""",What can I say about this cat food except that my four cats like it and I don't mind opening/serving it.,Cat Food my Cats Like,5
41,Judy M. Davis,"I have been taking care of my dogs teeth since he came in to my life.  I used the other product, but it is price prohibitive. I brush his teeth every morning, and spray two squirts on each side to get the back teech, which I can't get the brush into.  His teen are nice and clean and white.",This product works,5
42,fishandmaps,"The reviews for this were great but I was a little disappointed after I got this.  I thought the intent was for this to stand up and wobble back and forth (still vertical).  Instead, as soon as my dog(s) push the toy, it falls over on its side and just rolls around, staying mostly horizontal.  I understand this would happen if you try to completely fill it up, but even with the recommended amount of one cup, it still just falls over on its side with a single push.  It's not particularly challenging for them (the hole is pretty big) and definitely doesn't keep them occupied for long.The only time I've seen it working properly was when I was dog-sitting a small dog (pomeranian) and fed her dinner in this.  I have the size Large, for my med-large dogs and this is almost half the size of the pom.  When the little dog used it to dispense her food, it actually did what it's advertised for.  The Large size will definitely keep a small dog busy for awhile, assuming the dog is not afraid of it and is used to food dispensing toys.",Not as great as I hoped,3
43,Krista Llorens,"My pup has managed to shred most toys, but this one stands up to her strong chew drive. It bounces too which drives her absolutely nutty. All the fun of a tenis ball, but no yellow fuzz everywhere and she can't destroy it. Great toy!",Tough Toy,5
44,VMM,"Terrible piece of junk. Should have read the reviews. Batteries last like 5 minutes in it. This thing sounds horrible, and my cats are barely interested in it, which says a lot because my cats play with almost EVERYTHING I give them. I am extremely disappointed.",terrible,1
45,texypants,"Was very glad when this arrived! No more wrapping the 6' lead around my wrist when I want to do one handed walking! Great for a medium to large city dog (or child). I'm 5'10 and the dog's head doesn't reach my hip but this leash is comfortable. My 6'2 husband doesn't use it, probably because it's too short for him.","Great length, great hardware",5
46,Kari Lynn Mastromonica,This is a very large cat scratcher/lounger. I was surprised how large it was. My cats love it and tend to lounge on it more than scratch it. It's an interesting shape so it is almost decorative in my living room. Its a sturdy product and I forsee it lasting many years.,Large & attractive,4
47,Super ReviewR,"i dont know how much this really works, but i added this to my tanks when i got new fishes and they miraculously survived (after the previous new ones died).  it seems to work because when i was just using regularly water conditioner, i'd have batches of new fishes die.  now all of my fishes are alive! yay!",works!!,5
48,Jean F Blanton,but  I have to buy more because there are there are now three dogs struggling to sleep on it. have not tried washing it therefore only four starts since i don't yet know that outcome will be.,Great bed,4
49,Skydog,"First off let me start by saying I was skeptical of the claims but was willing to go into this with an open mind - especially since the price was so reasonable.  After 6 months of almost daily usage I can honestly say that my cats teeth - mostly toward the back - went from a dull tan/brown color to almost pearly white (my cat is 3 years old).  I am happily amazed.  Why they dont advertise this stuff for humans is beyond me.  Its only a special seaweed.  Maybe dentists would lose business - I cant figure it out.You need to be patient waiting for results - you wont notice any difference in only a month.  After 3 months you will see subtle improvement.  Without before and after photos I still wasnt sure the improvement I saw was real.  Keep at it.  After 5-6 months you will be amazed.As others have stated the bottle goes a long way since you use so little at a time.  1 bottle has lasted me 6 months and I have 3 cats.  If you use dry food do not worry - just sprinkle it on.  Your cat will most likely lick the bowl clean anyway.What I do - and strongly recommend - is to use this along with the CET Dental Chews.  Get the regular kind that looks like little cylinders - not the Advanced Hexadent type.  The reason is PlaqueOff causes plaque and tartar to liquify but you really need some scrubbing action to get this gunk off the teeth.  The dental chews provide that.Oh yeah - if you have a cat - there is another PlaqueOff made especially for cats.  It is flavored to something they will like.  While you can use this version for cats or dogs, cats dont particularly enjoy eating this - though they still seem to down it.So there you go... 2 thumbs up for a great product.",This stuff works!,5
50,"""Debra Renner Smith \""Deb Renner Smith, an auth...""","The black lab mix is a chewer. She loved flipping the toy and chasing it. However, she managed to rip open the seam on day 7.",lasts a week,4
51,Warren Redlich,One more item we bought for our puppy that didn't hold up well to her teeth. She's only six pounds. How can these things not manage to last more than a couple weeks?,Poor durability,2
52,Petra,"I don't know if my 14 lb. dog has the Mini Invincible Dog or a larger size, but within an hour after giving it to him the 'Invincible' dog had NO ears left and the squeaker is protruding out the top of it's head, but it still squeaks! Within 3 days, it now resides in the trash can.",Invincible? Oh no its not!,1
53,"""SGAseattle \""Scott\""""","Hedgie only was with us about two weeks before her untimely passing.  Annie still misses her.Nice toy, just remember, most plush toys don't last too long.",Very happy but short lived,5
54,"""Zoey C. Goetsch \""OrangeYellowDog\""""","I got the prescription kind from the vet and then started using these afterwards.  When I don't give them to my dog she has accidents so I know these work!  My dog is old and these tabs are pretty crucial plus they have no scary side effects that the prescription kind has. I'm now reordering since it seems to be the only thing that consistently works. When I ran out of these I gave her a doggy enzyme pill that seems to help, but not as consistently effective as this product.",super great for doggy leaks,5
55,Margiecat,"Both of my cats took to this grooming device immediately .  Although it doesn't really work any better or worse than a comb or brush, the cats like it much better.  It is easy to clean.A side bonus:  You can use it to get hair off of almost any surface, like funiture!  Just rub it along the surface and the fur will be attracted to the Kong!",An easy way to get the hair,4
56,Elizabeth,"""UPDATE AUGUST 9 2012: Three years later, and I still use this scoop as my only litter scoop! The handle on mine has not broken or weakened. I have a multi-cat househould and three litter boxes which need scooping daily. Also, I have discovered you CAN use this scoop one-handed. Just use the end of the scoop to open the very top of the container and presto! It opens to allow one to put the scoop back in one-handed! Easy! If you are having trouble with this scoop not handling clumping litter, I suggest changing litter to a stronger clumping litter as some clumping litters do not hold together. I suggest Scoop Away litter (use at least 4 inches and scoop daily) and have found it to form very strong clumps.ORIGINAL REVIEW:I love this scoop!  I use a firm clumping litter designed for multi-cat households, and I need a tough scoop that can match.  The photo does not do this nifty little product justice.The scoop is surprisingly deep.  I have attached a photo showing the depth. The \""working\"" part of the scoop measures 5 x 4 3/4\"" x 2 1/2\"" at its deepest point.  The handle is 6\"" long, bringing total scoop length to about 11\"". The Booda container that houses the scoop is 12\"" high including scoop handle x 6 5/16\"" wide x 5 5/8\"" deep at the widest part of the base.This scoop fit easily inside my cats' three litter boxes (interior size 14\"" x 18\"") and made short work of the litter because it can scoop a large clump all at once.Pros:* Pleasing color* MatchesBooda Dome Cleanstep Cat Litter Box* Deep scoop* Sturdy handle* Can handle large clumps* Easily maneuvers inside smaller litter boxesCons:* There is glue from the label that peeled off which I need to remove.  That is the one bone I'd like to pick with Booda - the sticker leaves behind a sticky residue.* Cannot operate scoop/holder one-handed. (NOTE: See my update August 2012: You CAN operate this one-handed: see my trick!) When I remove the scoop from its holder to use it, the holder will not stay open.  After I use the scoop, it is hard to get the scoop back into the holder using only one hand, because the holder wants to stay in the closed position. Ideally for convenience it would be nice to be able to operate this scoop/holder with only one hand.Far superior to the cheap scoop I previously use, I am very pleased with this one.  The handle seems plenty strong to me.  Recommended!""",Three-Year Review: The perfect scoop!,5
57,"""Kuromame's Mommy \""Rose\""""","My Shiba Inu ate the first one -- the second time I offered him this treat, he just carried it around and whimpered until I took pity on him and threw it away -- there's something about the smell/taste of this that he does not like!",Dog treats,2
58,frances n,"I have been using this product on my dog for about 8 months.I read the reviews on this product, gave it a try and was satisfied with the end results.",Petzlife oral care  It works!,4
59,Debra Perry,Perfect for the price and my dog loved it.  A nice product for a nice price.  Good quality as well.,Perfect,5
60,Chelsey Rockey,Our two cats love this product so much that they will push the other out of the way so that they can have a turn. I also love how the scratching base is reversible.,2 Cats Keeping Fighting Over It!,5
61,Quality?,"Have only used for a short time, but it appears to be made well and will last.  My small dog shouldn't break it, and I liked the way they attached the clips.",Nice,4
62,Shelli Taylor,"I have two cats and two small dogs.  I have been pet sitting for two more cats for a friend while she's overseas.  This has been a lifesaver.  One of the kitties came to me with a UTI.  Add the stress of coming to stay somewhere new for an extended time not to mention new dynamics makes getting over a UTI worse.  Amazingly the boy had not only gotten over his UTI, but settled in well and was playing with all the animals.  (His sister prefers being alone sleeping on the bed.)  Once in a while my friend comes back to visit and take her babies while she is here.  This has made the transitional shift so much easier.Since everyone had been getting one so well, I decided not to replinish the supply once I ran out.  That was a mistake.  Not only did the male cat get a UTI, but so did my youngest!  I immediately purchased more and plugged it in the day I got it!  The male cat is now over his UTI and my young one's is almost cleared up.  My young one is back to her happy playful self and darting all over the house.  I will be keeping this plugged in full time!",Wonderful!!,5
63,Kaleena L.,I bought this for my 20 year old cat to use. He can't hold himself up to scratch on the poles and can't do the flat cardboard ones either. I haven't seen him try this one but I know how these things work and this one works as it should. Good price.,Good price and it does it's job,4
64,"""Amazon Customer \""remo\""""",Our schnauzer loves these treats. We give them to her for training and as a reward for going into her crate. They are kind of large but soft so they are easy to tear into smaller pieces.,Schnauzer loves them,5
65,shellontherun,"So far, the longest lasting treat dispensing toy - in terms of how long before he gives up or gets all the treats out. Noisy on hardwood floor, but if you don't mind this, its ok. I mixed his regular kibble with some rice crispies, the perfect combination for keeping it interesting. Great product!",dog still playing with it,5
66,harriet stoll,This was a wonderful choice cause it can span a very large area and still looks attractive. I may buy another one,Perfect lb height for small dogs,5
67,John,Pads work great - They are also THICKER than the ones I use to have and thicker is much better. Fit into tray perfectly.WORKS GREAT,"""WORKS GREAT  >&lt; ///\"">""",5
68,mrsdelatte,All you have to do is compare the ingredients in a can of this with any of the higher priced dog foods out there and you'll see for yourself. My dogs love the taste and I love the healthy ingredients and low price. Kudos to Merrick for making a great quality dog food for a reasonable price. The Whole Earth Farms line gives those of us who want whole healthy foods for our dogs but can't or don't want to pay $2-$3 per can or $60 per bag for the privilege.,Great dog food at a great price!,5
69,ClassicalEduMom,"While the bunnies are not quite old enough to be effectively litter box trained yet, I am constantly amazed at how both mini Rexes cozily squeeze themselves and stretch out in their pan. They seem to think it makes a perfect bed! I'm amazed they have not chewed on it but we provide lots of chew toys. While incredibly lightweight, it has never been tipped over. Because it is uncovered, the cats do not have any interest in using it.",Just the right size,4
70,"""Cookie Baker \""the Critic\""""",Carefully following directions for 3 dogs and used entire bottle (about 30 days) No results. All our dogs showed zero signs of tarter improvement. Non specific directions regarding the length of time needed for results. I sure wanted it to work.The dogs did get used to it with diluting the dose in the beginning. I may try it again for longer. I wish something orally worked without risking harm to the animal.,Did Nothing Zero Nada Wasted Money,2
